experiment,9
particleCount,1000
particleMass,1.000000
volume,8000000.000000

frame,time,pressure,RMSSpeed,vXAvg,vYAvg,vZAvg
0,0.011096,0.000000,115.445382,100.522666,0.000000,0.000000,
20,0.264281,16.628488,115.445382,70.376281,0.000000,-0.000000,
40,0.417451,29.892522,115.445382,49.294371,0.235479,-0.000000,
60,0.804163,8.351385,115.445382,14.104555,0.093333,-0.063950,
80,1.133527,66.224847,115.445382,-23.801723,1.146679,-0.621960,
100,1.380418,79.931710,115.445382,-42.766796,1.472100,-0.720701,
120,1.569230,72.938963,115.445382,-42.033047,1.094033,-0.515471,
140,1.753915,69.437332,115.445382,-37.128677,1.317174,-0.575142,
160,1.907893,75.070957,115.445382,-30.406089,0.443406,-0.858798,
180,2.053243,73.389069,115.445382,-20.070818,0.744924,-0.434950,
200,2.215140,62.386585,115.445382,-6.475704,0.401134,0.155739,
220,2.366904,53.724344,115.445382,2.159807,0.358583,-0.255830,
240,2.505330,58.429918,115.445382,5.038578,-0.720946,0.304710,
260,2.646646,55.309044,115.445382,8.625804,-0.902967,-0.112729,
280,2.795567,53.694747,115.445382,12.573814,-1.147891,-0.897801,
300,2.939302,41.909547,115.445382,8.631102,-0.883295,-0.560049,
320,3.129436,50.125515,115.445382,2.964776,-0.627289,-0.217624,
340,3.278627,62.147923,115.445382,-1.211227,-0.764124,0.289542,
360,3.459161,46.638445,115.445382,-5.895016,-0.534898,0.574392,
380,3.613103,64.521713,115.445382,-6.255862,-0.976358,1.447364,
400,3.774064,60.486778,115.445382,-8.921818,-0.592350,1.439357,
420,3.920257,60.939023,115.445382,-6.427505,0.370585,1.658676,
440,4.083278,62.176894,115.445382,-4.114795,0.090245,1.725535,
460,4.240109,53.507361,115.445382,-0.522261,-0.433841,1.482500,
480,4.420233,50.715392,115.445382,0.934454,-0.698648,1.472179,
500,4.581015,60.115229,115.445382,1.326076,-1.110589,1.151677,
520,4.732786,56.703099,115.445382,2.174585,-1.470060,1.791638,
540,4.887312,56.478395,115.445382,1.958782,-1.938278,1.108771,
560,5.037702,55.888285,115.445382,-0.207545,-2.221815,0.655003,
580,5.235855,60.944767,115.445382,-3.277655,-1.011356,0.954480,
600,5.394809,59.891202,115.445382,-7.458045,-0.494166,0.818765,
620,5.544404,59.974542,115.445382,-4.145889,0.237217,-0.202167,
640,5.694912,57.782424,115.445382,-4.543822,-0.663619,-0.752269,
660,5.842064,58.028217,115.445382,-3.209812,-0.252392,-0.598224,
680,5.988961,60.475142,115.445382,-1.823529,-0.186263,-1.604285,
700,6.141619,59.200673,115.445382,-3.827001,-1.040362,-2.110343,
720,6.290666,61.530577,115.445382,-2.349974,-0.138712,-2.913290,
740,6.436254,58.496243,115.445382,6.111863,0.080398,-3.193595,
760,6.576994,61.290899,115.445382,1.217957,0.572007,-2.232532,
780,6.745093,47.485538,115.445382,4.827829,1.159637,-1.782566,
800,6.906720,36.481582,115.445382,2.967037,1.982559,-2.028878,
820,7.075692,41.243356,115.445382,4.951683,1.514463,-1.462102,
840,7.234551,52.345415,115.445382,4.412211,0.422745,0.947114,
860,7.408987,53.517503,115.445382,2.578436,-0.477286,0.311089,
880,7.554994,56.051620,115.445382,3.865675,-0.707183,1.092154,
900,7.708702,53.546544,115.445382,4.926586,-0.240438,1.354711,
920,7.858168,56.012974,115.445382,1.561621,0.053617,1.233795,
940,8.003846,58.247555,115.445382,1.506044,-0.083925,2.108582,
960,8.146638,58.164996,115.445382,0.916752,-0.841202,1.536376,
980,8.297565,60.518767,115.445382,-0.655761,-0.449233,0.935083,
1000,8.452183,37.864422,115.445382,-1.613402,-0.539200,-0.436520,
1020,8.607288,57.953877,115.445382,-4.087144,0.223827,-0.395554,
1040,8.757397,61.111012,115.445382,-4.535668,1.030875,-0.183439,
1060,8.902206,58.133853,115.445382,-3.729132,0.504558,0.483380,
1080,9.044819,63.228708,115.445382,-4.182102,-0.000167,0.339629,
1100,9.215112,66.054833,115.445382,-5.688499,-0.413032,-0.562189,
1120,9.382946,39.864264,115.445382,-7.385171,-0.858198,-0.151426,
1140,9.564236,44.369532,115.445382,-3.016556,-0.755839,0.967649,
1160,9.728665,56.182194,115.445382,0.384633,-1.391047,0.178649,
1180,9.875664,38.899009,115.445382,2.039400,-1.449774,0.229901,
1200,10.059897,27.871242,115.445382,4.084095,-1.518143,-0.705474,
1220,10.239612,30.294114,115.445382,2.898806,-3.514875,-2.402425,
1240,10.389871,59.529121,115.445382,4.803652,-1.310380,-2.360904,
1260,10.555730,52.327384,115.445382,5.801722,-0.338505,-2.109993,
1280,10.724671,56.962562,115.445382,0.551670,-1.188679,-1.666864,
1300,10.893999,40.846827,115.445382,-0.087322,-0.961279,-1.421557,
1320,11.064102,59.164349,115.445382,-2.038948,-1.661732,-2.033932,
1340,11.250949,52.998185,115.445382,-2.531714,0.042643,-2.116734,
1360,11.453116,65.705743,115.445382,-5.062493,0.180186,-2.096457,
1380,11.625360,58.732399,115.445382,-4.530578,0.730267,-1.733641,
1400,11.787523,63.001405,115.445382,-4.372546,0.755293,-3.179698,
1420,11.959902,54.915283,115.445382,-0.380406,2.589600,-1.614771,
1440,12.120579,26.455781,115.445382,1.221756,4.640994,-1.553621,
1460,12.305233,49.758412,115.445382,3.452570,5.217656,-0.440258,
1480,12.470162,52.319297,115.445382,3.772412,2.716835,-0.554429,
1500,12.633234,25.867835,115.445382,1.886499,2.818606,-0.615660,
1520,12.798189,54.112023,115.445382,1.929738,1.995919,1.879757,
1540,12.950615,48.828518,115.445382,1.073874,1.701421,1.890740,
1560,13.116215,54.339031,115.445382,0.134052,-0.198176,1.420231,
1580,13.294566,49.718716,115.445382,1.533232,-1.646831,2.227810,
1600,13.455570,55.801042,115.445382,0.333529,-0.527369,1.327261,
1620,13.603547,59.724432,115.445382,2.660893,-1.780952,1.520260,
1640,13.744545,59.089568,115.445382,3.570476,-0.559774,0.806922,
1660,13.883441,56.344286,115.445382,2.668024,-0.394790,1.154253,
1680,14.028144,54.159053,115.445382,1.727752,0.234988,0.504310,
1700,14.176630,59.732503,115.445382,2.564842,0.185950,0.189512,
1720,14.322508,57.936646,115.445382,2.724985,0.812072,-0.099061,
1740,14.493924,58.531551,115.445382,5.052225,0.408831,-0.283478,
1760,14.631911,58.371338,115.445382,3.013246,1.048591,1.408942,
1780,14.774318,60.866797,115.445382,-1.526128,-0.559938,0.510280,
1800,14.915732,60.565917,115.445382,-2.804474,1.628228,2.323325,
1820,15.070311,51.574635,115.445382,-4.393290,1.000349,2.556594,
1840,15.253276,46.990761,115.445382,-4.992728,0.918909,3.942275,
1860,15.431078,47.286575,115.445382,-4.130164,0.425948,2.432883,
1880,15.608525,48.080784,115.445382,-5.768103,0.370077,2.972040,
1900,15.788777,47.159102,115.445382,-4.668372,1.775589,2.201453,
1920,15.964017,49.941389,115.445382,-4.182414,3.884011,0.581508,
1940,16.137632,52.525123,115.445382,-4.035463,3.364266,0.344366,
1960,16.312067,51.452645,115.445382,-1.871332,1.841680,-1.393071,
1980,16.478079,54.486745,115.445382,-3.304112,1.360357,-2.401819,

histogramWidth,10.000000
histogram,9,16,24,31,35,60,72,70,76,71,91,74,77,70,41,48,36,34,22,17,6,10,5,4,1
